S.No.,Brand,Customer Complaints ,Hiring (Job Postings/ Listings for CTO/CXH),New Joinee (new CTO/CX/Founder),Growth/ expansion,Current Vendor,Source,,Complaint_Severity,Leadership_Hire_Strength,Current_Returns_Vendor_Status,Open_Relevant_Roles,Is_Growing_Fast,Product_Fits_Returns_Category
1,Chubbies,Automated/chatbot-first support creates delays reaching a human agent — customers report no follow-up; 11 negative reviews in past 12 months (Trustpilot/BBB/ConsumerAffairs),None found,None found,Brick-and-mortar retail (parent: Solo Brands),Loop Returns (confirmed),TrustPilot: https://www.trustpilot.com/review/chubbiesshorts.com | BBB: https://www.bbb.org/us/ca/san-francisco-/profile/online-retailer/chubbies-shorts-1116-919827/complaints | Loop: https://loopreturns.com/case-studies/case-study-loop-chubbies,,S,N,C,N,N,Y
2,Rothy's,Sizing drives returns; support often declines exchanges/refunds or offers partial discount instead of a fix (2026 reviews),"Open CTO role found, but not a Returns Manager/Logistics-specific posting -> counted under leadership, not hiring signal","New CEO Dayna Quanbeck (promoted from President/COO, effective ~Dec 2025) + Rothy's first-ever CTO — open req live now, framed as 'critical pillar in our next phase of growth' spanning ecommerce/data infra","Expanding rapidly (new stores + international, 2026)","Loop + Happy Returns (confirmed, satisfied customer)",Trustpilot: https://www.trustpilot.com/review/rothys.com | Loop: https://loopreturns.com/happy-returns,,S,Y,H,N,Y,Y
3,Brooklinen,"Refunds take 2+ weeks, customers report threatening chargebacks; BBB complaints re: broken escalation promises. Trustpilot 2.3/5, BBB D-","Senior Associate, Inbound Operations (owns 'First Mile') + a Director-level role explicitly overseeing 'logistics improvements' and tech systems - both live postings","New CEO Billy May (ex-Chief Customer Officer, URBN) replaced founder Rich Fulop - reported Jan 2024","Ongoing physical retail expansion (8+ stores, targeting 25-30)",Loop Returns (confirmed) + project44 for last-mile tracking,Trustpilot: https://www.trustpilot.com/review/www.brooklinen.com | BBB: https://www.bbb.org/us/ny/brooklyn/profile/linens/brooklinen-inc-0121-163344/complaints | CEO: https://www.retaildive.com/news/brooklinen-open-washington-dc-logan-circle-store/705711/,,S,Y,C,P,Y,Y
4,Solo Stove,"Recurring refund-delay complaints (10-14 days stated, 3+ weeks actual), damaged shipments, unresponsive support (Trustpilot)","No Returns Manager/Logistics Ops postings found; company in cost-cutting mode per 10-K, unlikely to be hiring for this","Parent Solo Brands: permanent CEO John Larson appointed June 2025 (~13mo ago, past our 12mo trigger window) amid broader distress/restructuring - not treated as a current trigger",NOT growing - parent Solo Brands disclosed 'going concern' in March 2026 10-K (financial distress). Sister brand to Chubbies.,"No competitor platform found - manual, call-in return process (BigCommerce)",Trustpilot: https://trustpilot.com/review/solostove.com | Returns page: https://www.solostove.com/en-us/shipping-returns | SEC: https://www.stocktitan.net/sec-filings/SBDS/10-k-solo-brands-inc-files-annual-report-4b9093a799fe.html,,S,N,NT,N,N,Y
5,Vuori,"Slow refunds, no direct online exchange (forces return & rebuy), lost/mishandled returns - Trustpilot, BBB, March 2026 legal-complaints roundup","Could not isolate Returns Manager/Logistics-specific postings from Vuori's general career page (200+ open roles, mostly retail) given no paid job-board API - noting as a limitation","New Chief Product Officer (Heather Archibald), appointed April 2026","Aggressive retail expansion - 100+ stores, ~25 more planned 2026 incl. 15 international",Not yet confirmed,"Trustpilot: https://www.trustpilot.com/review/vuoriclothing.com | BBB: https://www.bbb.org/us/ca/carlsbad/profile/clothing/vuori | Exec hire: retailtechinnovationhub.com, April 2026",,S,N,,N,Y,Y
6,Outdoor Voices,"Mixed but real returns/refund pain: Trustpilot reviewers report refunds not processed for weeks after a return is shipped, requiring the customer to chase support to get money back.","No Returns Manager/Logistics-specific postings found across Built In, ZipRecruiter, LinkedIn, Wellfound, or their own career page (Breezy HR) - listings are mostly retail/instructor roles",Founder Ty Haney returned as CEO — July 2025 (~12 months ago),Full brand relaunch (2025) under new ownership,Loop Returns (confirmed - returns.outdoorvoices.com),Returns: https://returns.outdoorvoices.com/ | Founder return: https://www.tbpndigest.com/story/2025-07-29/outdoor-voices-founder-ty-haney-returns-as-ceo-five-years-after-ouster-integrates-tyb-loyalty-platform-at-launch | Hiring check: https://www.builtinaustin.com/company/outdoor-voices | https://wellfound.com/company/outdoor-voices/jobs,,S,N,C,N,N,Y
7,Blueland,20% negative Trustpilot reviews (532 total); recurring theme: no response from customer service on order issues,No currently open Returns Manager/Logistics-specific postings found. A 'Director of CX' role existed (Prelude Growth Partners job board) but is now closed/filled - no confirmed hire date available,"Amy Kemp, Director of Customer Experience (ex-Glossier)","Actively expanding into national mass retail: entered Target (2,000+ stores) and Costco in 2025 after a Whole Foods rollout, shifting from pure DTC to omnichannel.",Loop Returns (confirmed - returns.blueland.com),Returns: https://returns.blueland.com/ | Trustpilot analysis: https://www.aftership.com/brands/blueland.com | C-suite hires: https://www.inc.com/blueland-ceo-sarah-paiji-yoo | Director of CX role (closed): https://jobs.preludegrowth.com/companies/blueland,,M,Y,C,N,Y,Y
8,True Classic,"AI chatbot-first support failing customers - 'argue with chatbot, never get a human'; missing shipping confirmations (March 2026 review)","No dedicated Returns/Logistics Manager posting, but a live Warehouse Operations Manager (Dallas, TX) role is logistics-adjacent — closest match on their 28 open roles.","Joshua Bultz, Head of Global Supply Chain, Operations (COO) — joined October 2025 (~9 months ago)","Hit $300M+ revenue in 2025 (50% YoY growth), guided toward $1B in 10 years, took a growth investment from 1686 Partners (April 2025) earmarked partly for supply chain, expanded into Target nationwide, launching women's/kids' lines.","Happy Returns (confirmed, $5.99 fee)",Trustpilot: https://www.trustpilot.com/review/trueclassictees.com | Return policy: https://thereturnguide.com/blogs/retail-store-returns/true-classic-return-policy,,M,Y,C,N,Y,Y
9,Feastables,"None found relevant to returns - food/consumable category, no significant returns-related pain identified",Not yet checked,,Not yet checked,"N/A - consumable product, no returns program likely",,,N,,NT,,N,N
10,Kosas,"Refused refunds/escalation ('nothing can be done'), unauthorized charge dispute - recent (March 2026)",None found specific to returns/CX/logistics.,"CEO is still Jean-Marc Plisson (since 2021, outside window)","Moving past its original US focus, Kosas has aggressively scaled its footprint to over 1,200 international retail doors by early 2026",Loop Returns (confirmed),Trustpilot: https://www.trustpilot.com/review/kosas.com | Tech stack: https://www.aftership.com/brands/kosas.com,,S,N,C,N,Y,Y
